over,short_text,long_text
17.3,"Rashid Khan to Lomror, no run",backs away and tries to cut a shortish one and loses shape as it spins away and bounces extra
17.2,"Rashid Khan to Rahane, 1 run","gets down for another sweep, has to fetch it from outside off, so he doesn't time it too well as he works it to deep midwicket"
17.1,"Rashid Khan to Rahane, SIX runs",Rahane finally with the big hit. Whew! That was a long time coming. Rashid nicely floats this up outside Rahane's off-stump and he gets down on a knee to slog it over square leg for a massive six
16.6,"Kaul to Rahane, 1 run","length ball that cuts in from outside off, shuffles across and flicks to midwicket"
16.5,"Kaul to Lomror, 1 run","full, angled across at a fifth-stump channel, drilled down to long-on"
16.4,"Kaul to Rahane, 1 run","back of a length, cuts in, flicks to deep midwicket"
16.3,"Kaul to Lomror, 1 run","full, angled across, driven to the left of sweeper cover"
16.2,"Kaul to Rahane, 1 run","short of a length, cuts in, opens the face and runs it down to short third man"
16.1,"Kaul to Rahane, 2 runs","full outside off, flicks it from there to wide long-on where Pandey fumbles and allows Rahane to get back on strike"
15.6,"Rashid Khan to Rahane, 1 run","length ball that spins away, reaches for it and opens the face late to short third man where Yusuf makes a diving stop"
15.5,"Rashid Khan to Lomror, 1 run","short of a length, drifts across and he punches off the backfoot through cover"
15.4,"Rashid Khan to Lomror, 2 runs",gets down for a reverse sweep and crunches it out to sweeper cover for a brace
15.3,"Rashid Khan to Rahane, 1 run",flicks a length ball against the turn through midwicket
15.2,"Rashid Khan to Rahane, no run","does him in with drift and flight that draws him forward, and turn as it spins away and beats him with the backfoot coming off. Slides it back in"
15.1,"Rashid Khan to Rahane, 2 runs","very wristy from Rahane, whips a length ball from way outside off through the gap at midwicket"
14.6,"Sandeep to Rahane, 1 run","back of a length outside off, shuffles across and flicks to midwicket"
14.5,"Sandeep to Rahane, 2 runs","slower length ball, a legcutter, picked early by Rahane who times a flick and places it wide of the deep midwicket fielder"
14.4,"Sandeep to Lomror, 1 run","slower full ball, pushed out to sweeper cover"
14.3,"Sandeep to Lomror, no run",
14.2,"Sandeep to Lomror, 2 runs","is that a run out chance? Nah, the dive has saved him there. Lomror advances down the ground to a shortish delivery and slashes it away to sweeper cover. They take on the fielder for a second and the dive ended up being timely"
14.1,"Sandeep to Lomror, no run","shortish around off, tries to flick and the ball goes off the outside of the bat down the pitch"
